Estacao,Latitude y,Longitude x,T1,T2,T3,T4
Maputo,-25.97714042,32.58744057,326.48,22.62,20.81,280.34
Xai-xai,-25.05322655,33.64399719,326.48,60.9,20.83,281.55
Inhambane,-23.86517342,35.38281633,460.91,104.46,50.31,192.95
Beira ,-19.84559066,34.8412628,831.53,198.12,132.75,106.51
Chimoio,-19.11449236,33.48738859,610,104.63,53.02,328.63
Quelimane,-17.87617879,36.88829043,475.1,192.79,59.05,171.86
Tete,-16.15657036,33.58686448,89.04,20.14,0,18.01
Nampula,-15.12049198,39.26421734,442.81,84.2,14.24,51.46
Lichinga,-13.31267549,35.23968507,772.26,18.61,1.24,54.34
Pemba,-12.96106048,40.50714497,389.21,185.09,12.68,25.6
